customerID,MonthlyCharges,tenure,Contract,InternetService,PaymentMethod,numTechTickets,numAdminTickets,Churn,ChurnProbability,RiskTier,TopRiskDriver1,NextBestAction
3841-NFECX,96.35,71,Two year,Fiber optic,Credit card (automatic),0,0,No,0.0019499284773875469,Low,N/A,N/A
4929-XIHVW,95.5,2,Month-to-month,Fiber optic,Credit card (automatic),0,0,No,0.841243878346133,Critical,Internetservice Fiber Optic,Contract Upgrade Incentive
6827-IEAUQ,66.15,27,One year,DSL,Mailed check,0,0,No,0.05635906344732924,Low,N/A,N/A
7310-EGVHZ,20.2,1,Month-to-month,No,Bank transfer (automatic),0,0,No,0.4502004565089661,High,Tenure,Contract Upgrade Incentive
3413-BMNZE,45.25,1,Month-to-month,DSL,Bank transfer (automatic),0,0,No,0.727437169429622,Critical,Tenure,Contract Upgrade Incentive
6234-RAAPL,99.9,72,Two year,Fiber optic,Bank transfer (automatic),0,0,No,0.0011182770181163092,Low,N/A,N/A
6572-ADKRS,74.8,46,Month-to-month,Fiber optic,Credit card (automatic),0,3,No,0.202582648931844,Low,N/A,N/A
8865-TNMNX,49.55,10,One year,DSL,Mailed check,0,5,No,0.2310710469924418,Low,N/A,N/A
9489-DEDVP,69.2,70,Two year,DSL,Credit card (automatic),0,0,No,0.0009682723070053156,Low,N/A,N/A
9867-JCZSP,20.75,17,One year,No,Mailed check,0,0,No,0.08647536956297604,Low,N/A,N/A
4671-VJLCL,79.85,63,Two year,DSL,Credit card (automatic),0,0,No,0.0011962710503069956,Low,N/A,N/A
4080-IIARD,76.2,13,Month-to-month,DSL,Electronic check,0,4,No,0.4145975729445787,High,Tenure,Contract Upgrade Incentive
3714-NTNFO,84.5,49,Month-to-month,Fiber optic,Electronic check,3,0,No,0.9315812912723057,Critical,Numtechtickets,Proactive Tech Support Outreach
5948-UJZLF,49.25,2,Month-to-month,DSL,Mailed check,0,0,No,0.6302993792906719,High,Tenure,Contract Upgrade Incentive
7639-LIAYI,79.75,52,Two year,DSL,Credit card (automatic),0,1,No,0.0023001422162277373,Low,N/A,N/A
2954-PIBKO,64.15,69,Two year,DSL,Credit card (automatic),0,0,No,0.0010880168297506165,Low,N/A,N/A
8012-SOUDQ,90.25,43,Month-to-month,Fiber optic,Electronic check,0,0,No,0.2905273779104101,Low,N/A,N/A
6575-SUVOI,69.5,25,Month-to-month,DSL,Credit card (automatic),0,4,No,0.2143613337650756,Low,N/A,N/A
4667-QONEA,74.85,60,One year,DSL,Credit card (automatic),0,0,No,0.005916635861874036,Low,N/A,N/A
8769-KKTPH,99.65,63,One year,Fiber optic,Credit card (automatic),0,0,No,0.009455117362896826,Low,N/A,N/A
5067-XJQFU,108.45,66,One year,Fiber optic,Electronic check,0,3,No,0.007918867910762802,Low,N/A,N/A
3957-SQXML,24.95,34,Two year,No,Credit card (automatic),0,0,No,0.009956492394792469,Low,N/A,N/A
5954-BDFSG,107.5,72,Two year,Fiber optic,Credit card (automatic),0,0,No,0.0009615678234833728,Low,N/A,N/A
0434-CSFON,100.5,47,Month-to-month,Fiber optic,Electronic check,0,0,No,0.14433084514135697,Low,N/A,N/A
1215-FIGMP,89.9,60,Month-to-month,Fiber optic,Bank transfer (automatic),0,0,No,0.0516680060114286,Low,N/A,N/A
0526-SXDJP,42.1,72,Two year,DSL,Bank transfer (automatic),0,0,No,0.0026414611562408786,Low,N/A,N/A
0557-ASKVU,54.4,18,One year,DSL,Credit card (automatic),0,0,No,0.13373362219201476,Low,N/A,N/A
5122-CYFXA,75.3,3,Month-to-month,DSL,Electronic check,0,0,No,0.6117732337004792,High,Tenure,Contract Upgrade Incentive
8627-ZYGSZ,78.9,47,One year,Fiber optic,Electronic check,3,0,No,0.8464021996699227,Critical,Numtechtickets,Proactive Tech Support Outreach
3410-YOQBQ,79.2,31,Two year,DSL,Mailed check,0,3,No,0.011717942623170887,Low,N/A,N/A
3170-NMYVV,20.15,50,Two year,No,Bank transfer (automatic),0,0,No,0.005128254259456575,Low,N/A,N/A
7410-OIEDU,79.85,10,Month-to-month,Fiber optic,Mailed check,0,0,No,0.7396978405519796,Critical,Internetservice Fiber Optic,Contract Upgrade Incentive
2273-QCKXA,49.05,1,Month-to-month,DSL,Mailed check,0,0,No,0.5985267212537063,High,Tenure,Contract Upgrade Incentive
0731-EBJQB,20.4,52,One year,No,Electronic check,0,0,No,0.021610568261225895,Low,N/A,N/A
1891-QRQSA,111.6,64,Two year,Fiber optic,Bank transfer (automatic),0,0,No,0.0016746250578153537,Low,N/A,N/A
8028-PNXHQ,24.25,62,Two year,No,Bank transfer (automatic),0,0,No,0.0020970407384206043,Low,N/A,N/A
5630-AHZIL,64.5,3,Month-to-month,DSL,Bank transfer (automatic),0,0,No,0.5284050908172273,High,Tenure,Contract Upgrade Incentive
2673-CXQEU,110.5,56,One year,Fiber optic,Electronic check,0,0,No,0.02771367380746738,Low,N/A,N/A
6416-JNVRK,55.65,46,One year,DSL,Credit card (automatic),0,1,No,0.03198797885457285,Low,N/A,N/A
5590-ZSKRV,54.65,8,Month-to-month,DSL,Mailed check,0,0,No,0.4820957832295978,High,Tenure,Contract Upgrade Incentive
0191-ZHSKZ,74.75,30,Month-to-month,DSL,Electronic check,0,0,No,0.24080801697205312,Low,N/A,N/A
3887-PBQAO,25.9,45,One year,No,Credit card (automatic),0,0,No,0.017946307404922045,Low,N/A,N/A
8108-UXRQN,50.55,11,Month-to-month,DSL,Electronic check,0,0,No,0.5695724713065209,High,Tenure,Contract Upgrade Incentive
9919-YLNNG,103.8,42,Month-to-month,Fiber optic,Bank transfer (automatic),0,0,No,0.12411513104476915,Low,N/A,N/A
0318-ZOPWS,20.15,49,Two year,No,Bank transfer (automatic),0,0,No,0.0061699488257841795,Low,N/A,N/A
4445-ZJNMU,99.3,9,Month-to-month,Fiber optic,Credit card (automatic),0,0,No,0.7064415042298584,Critical,Internetservice Fiber Optic,Contract Upgrade Incentive
4808-YNLEU,62.15,35,One year,DSL,Bank transfer (automatic),0,0,No,0.05735745856447792,Low,N/A,N/A
1862-QRWPE,20.65,48,Two year,No,Bank transfer (automatic),0,0,No,0.0053893158553891055,Low,N/A,N/A
2796-NNUFI,19.95,46,Two year,No,Mailed check,0,0,No,0.005573706346189868,Low,N/A,N/A
3016-KSVCP,33.75,29,Month-to-month,DSL,Mailed check,0,0,No,0.28157227666382334,Low,N/A,N/A
4767-HZZHQ,82.05,30,Month-to-month,Fiber optic,Bank transfer (automatic),0,0,No,0.35299647037059795,Low,N/A,N/A
2424-WVHPL,74.7,1,Month-to-month,Fiber optic,Electronic check,0,0,No,0.909019298178122,Critical,Internetservice Fiber Optic,Contract Upgrade Incentive
7233-PAHHL,84.0,66,Two year,DSL,Mailed check,0,0,No,0.0005179848231191594,Low,N/A,N/A
6067-NGCEU,111.05,65,Month-to-month,Fiber optic,Credit card (automatic),0,0,No,0.0189972118106299,Low,N/A,N/A
9848-JQJTX,100.9,72,Two year,Fiber optic,Bank transfer (automatic),0,0,No,0.001413275709376768,Low,N/A,N/A
9803-FTJCG,66.85,71,One year,DSL,Credit card (automatic),0,0,No,0.002575080339292957,Low,N/A,N/A
3212-KXOCR,21.0,52,Two year,No,Bank transfer (automatic),0,0,No,0.004866660836847989,Low,N/A,N/A
6380-ARCEH,20.2,1,Month-to-month,No,Mailed check,0,0,No,0.42175181757207836,High,Tenure,Contract Upgrade Incentive
3679-XASPY,19.45,1,Month-to-month,No,Electronic check,0,0,No,0.5129086624290927,High,Tenure,Contract Upgrade Incentive
7123-WQUHX,95.0,38,One year,Fiber optic,Bank transfer (automatic),0,0,No,0.07528036708856288,Low,N/A,N/A
5386-THSLQ,45.55,66,One year,DSL,Bank transfer (automatic),0,0,No,0.015575244371555965,Low,N/A,N/A
6180-YBIQI,24.3,5,Month-to-month,DSL,Mailed check,0,0,No,0.6720172159408239,High,Tenure,Contract Upgrade Incentive
6728-DKUCO,104.15,72,One year,Fiber optic,Electronic check,0,0,No,0.006316466724521872,Low,N/A,N/A
9750-BOOHV,30.15,32,One year,DSL,Mailed check,0,0,No,0.13419429503851782,Low,N/A,N/A
8597-CWYHH,94.35,43,One year,Fiber optic,Mailed check,0,0,No,0.05943314360562697,Low,N/A,N/A
2848-YXSMW,19.4,72,Two year,No,Credit card (automatic),0,0,No,0.001316220418577343,Low,N/A,N/A
4549-ZDQYY,57.95,52,One year,DSL,Credit card (automatic),0,5,No,0.017111767092841172,Low,N/A,N/A
5712-AHQNN,91.65,43,Month-to-month,Fiber optic,Electronic check,0,0,No,0.23819405585404,Low,N/A,N/A
5256-SKJGO,54.6,64,Two year,DSL,Electronic check,0,0,No,0.003135303870841509,Low,N/A,N/A
3071-VBYPO,89.85,3,Month-to-month,Fiber optic,Electronic check,0,0,No,0.8487679250065504,Critical,Internetservice Fiber Optic,Contract Upgrade Incentive
9560-BBZXK,31.05,36,Two year,DSL,Bank transfer (automatic),0,0,No,0.03646706653779411,Low,N/A,N/A
8402-OOOHJ,20.65,41,Two year,No,Mailed check,0,0,No,0.00892354602339106,Low,N/A,N/A
9445-ZUEQE,85.2,27,Month-to-month,Fiber optic,Credit card (automatic),2,0,No,0.8818469889295285,Critical,Numtechtickets,Contract Upgrade Incentive
1091-SOZGA,99.8,56,One year,Fiber optic,Credit card (automatic),0,0,No,0.01710211292865271,Low,N/A,N/A
2928-HLDBA,20.7,6,Month-to-month,No,Mailed check,0,0,No,0.3770115087613346,Low,N/A,N/A
6497-TILVL,50.7,7,Month-to-month,DSL,Mailed check,0,0,No,0.518205418438296,High,Tenure,Contract Upgrade Incentive
7219-TLZHO,20.85,4,Month-to-month,No,Mailed check,0,0,No,0.3545831199782666,Low,N/A,N/A
4622-YNKIJ,88.95,33,Two year,Fiber optic,Electronic check,0,0,No,0.05254304185870619,Low,N/A,N/A
6734-PSBAW,23.55,72,Two year,No,Bank transfer (automatic),0,0,No,0.0013698930207777025,Low,N/A,N/A
3930-ZGWVE,19.75,1,Month-to-month,No,Mailed check,0,0,No,0.4232467310966666,High,Tenure,Contract Upgrade Incentive
2639-UGMAZ,56.45,71,One year,DSL,Electronic check,0,0,No,0.010661774782903453,Low,N/A,N/A
2876-GZYZC,85.95,13,Month-to-month,Fiber optic,Electronic check,0,0,No,0.7816224666913768,Critical,Internetservice Fiber Optic,Contract Upgrade Incentive
8587-XYZSF,50.55,67,Two year,DSL,Bank transfer (automatic),0,0,No,0.0023696879742817383,Low,N/A,N/A
7799-LGRDP,25.7,43,Two year,No,Credit card (automatic),0,0,No,0.007126303568573251,Low,N/A,N/A
7850-VWJUU,75.0,23,Month-to-month,Fiber optic,Bank transfer (automatic),0,4,No,0.5968452738075138,High,Internetservice Fiber Optic,Contract Upgrade Incentive
3774-VBNXY,20.2,64,Two year,No,Mailed check,0,0,No,0.002061787026964793,Low,N/A,N/A
6217-KDYWC,19.6,57,Two year,No,Mailed check,0,0,No,0.0029186264264398705,Low,N/A,N/A
3146-MSEGF,88.05,72,Two year,DSL,Credit card (automatic),0,0,No,0.00041657516213321736,Low,N/A,N/A
1095-WGNGG,101.05,61,Two year,Fiber optic,Bank transfer (automatic),0,0,No,0.004064630724856185,Low,N/A,N/A
2636-SJDOU,84.3,64,One year,Fiber optic,Credit card (automatic),0,0,No,0.017151628761328003,Low,N/A,N/A
1131-QQZEB,23.95,71,Two year,No,Bank transfer (automatic),0,0,No,0.0017521644207635957,Low,N/A,N/A
5716-EZXZN,99.05,65,Two year,Fiber optic,Credit card (automatic),0,0,No,0.0019646767189531403,Low,N/A,N/A
6837-BJYDQ,19.6,3,One year,No,Mailed check,0,0,No,0.19358075185961784,Low,N/A,N/A
6440-DKQGE,64.5,30,One year,DSL,Credit card (automatic),0,0,No,0.06049636822904681,Low,N/A,N/A
3466-BYAVD,69.5,15,Month-to-month,DSL,Mailed check,0,0,No,0.2497552562027957,Low,N/A,N/A
3780-YVMFA,68.55,8,Month-to-month,DSL,Electronic check,0,4,No,0.49663096316485317,High,Tenure,Contract Upgrade Incentive
1679-JRFBR,108.15,70,One year,Fiber optic,Credit card (automatic),0,0,No,0.0035534080060738407,Low,N/A,N/A
9073-ZZIAY,86.1,62,Two year,DSL,Electronic check,0,1,No,0.0011542651503175909,Low,N/A,N/A
3077-RSNTJ,19.7,6,Month-to-month,No,Mailed check,0,0,No,0.33225620423793323,Low,N/A,N/A
6551-GNYDG,80.9,14,Month-to-month,Fiber optic,Bank transfer (automatic),0,0,No,0.6791194670327705,High,Internetservice Fiber Optic,Contract Upgrade Incentive
9167-APMXZ,84.15,22,Month-to-month,Fiber optic,Bank transfer (automatic),0,0,No,0.5757710381046106,High,Internetservice Fiber Optic,Contract Upgrade Incentive
2749-CTKAJ,20.15,22,One year,No,Mailed check,0,0,No,0.06361533894294807,Low,N/A,N/A
6371-NZYEG,64.25,16,Two year,DSL,Mailed check,0,0,No,0.04215723190662265,Low,N/A,N/A
7554-NEWDD,25.7,10,Two year,No,Bank transfer (automatic),0,0,No,0.045228385750922945,Low,N/A,N/A
8992-VONJD,56.0,13,Month-to-month,DSL,Electronic check,0,0,No,0.5256300429850351,High,Tenure,Contract Upgrade Incentive
4482-EWFMI,69.7,2,Month-to-month,Fiber optic,Electronic check,0,0,No,0.9154530840778384,Critical,Internetservice Fiber Optic,Contract Upgrade Incentive
4648-YPBTM,73.9,53,Two year,DSL,Bank transfer (automatic),1,0,No,0.010173333358513644,Low,N/A,N/A
2907-ILJBN,20.6,11,One year,No,Mailed check,0,2,No,0.11901008660826062,Low,N/A,N/A
6345-FZOQH,19.9,69,Two year,No,Mailed check,0,0,No,0.0016681928883504516,Low,N/A,N/A
5997-OPVFA,89.05,72,Two year,DSL,Bank transfer (automatic),0,4,No,0.00039531906397464447,Low,N/A,N/A
1159-WFSGR,20.4,16,Month-to-month,No,Electronic check,0,0,No,0.3115096006534637,Low,N/A,N/A
7654-YWJUF,84.25,43,One year,Fiber optic,Bank transfer (automatic),0,0,No,0.06623464909556533,Low,N/A,N/A
6727-IOTLZ,81.95,14,Two year,DSL,Mailed check,0,0,No,0.0334815427518915,Low,N/A,N/A
5918-VUKWP,20.55,32,One year,No,Bank transfer (automatic),0,0,No,0.05515309708097744,Low,N/A,N/A
1744-JHKYS,24.7,34,Month-to-month,No,Electronic check,0,0,No,0.1506772482296013,Low,N/A,N/A
5947-SGKCL,105.35,15,Month-to-month,Fiber optic,Bank transfer (automatic),0,0,No,0.5604678068570235,High,Internetservice Fiber Optic,Contract Upgrade Incentive
3712-PKXZA,20.55,61,One year,No,Credit card (automatic),0,0,No,0.00929674663098252,Low,N/A,N/A
6582-OIVSP,45.3,1,Month-to-month,DSL,Mailed check,0,0,No,0.6784108645968384,High,Tenure,Contract Upgrade Incentive
5524-KHNJP,74.75,33,One year,DSL,Credit card (automatic),0,0,No,0.03716291929838828,Low,N/A,N/A
4827-USJHP,51.8,20,Month-to-month,DSL,Mailed check,0,0,No,0.3354929982313191,Low,N/A,N/A
8167-GJLRN,30.4,3,Month-to-month,DSL,Electronic check,0,0,No,0.7329551374863704,Critical,Tenure,Contract Upgrade Incentive
0956-SYCWG,19.65,13,One year,No,Electronic check,0,0,No,0.19613043658023652,Low,N/A,N/A
8017-UVSZU,56.6,40,Month-to-month,DSL,Credit card (automatic),0,0,No,0.11128673236955004,Low,N/A,N/A
7100-FQPRV,71.9,43,One year,DSL,Credit card (automatic),0,0,No,0.01563607158809173,Low,N/A,N/A
2984-RGEYA,19.75,69,Two year,No,Bank transfer (automatic),0,0,No,0.001766835263672009,Low,N/A,N/A
9680-NIAUV,109.7,72,Two year,Fiber optic,Credit card (automatic),0,0,No,0.0008472148276254325,Low,N/A,N/A
2146-EGVDT,19.3,59,Two year,No,Credit card (automatic),0,0,No,0.0026277589401589026,Low,N/A,N/A
2604-IJPDU,96.55,20,Month-to-month,Fiber optic,Electronic check,0,0,No,0.5765320844015185,High,Internetservice Fiber Optic,Contract Upgrade Incentive
9178-JHUVJ,24.1,24,Two year,No,Bank transfer (automatic),0,0,No,0.017437472447835615,Low,N/A,N/A
6168-YBYNP,111.35,59,Month-to-month,Fiber optic,Electronic check,0,0,No,0.034174402625702614,Low,N/A,N/A
7255-SSFBC,112.25,72,Two year,Fiber optic,Bank transfer (automatic),0,0,No,0.0006671014067014311,Low,N/A,N/A
3645-DEYGF,20.75,1,Month-to-month,No,Mailed check,0,0,No,0.38366213552512174,Low,N/A,N/A
9323-HGFWY,101.9,27,One year,Fiber optic,Credit card (automatic),0,0,No,0.14366288880039305,Low,N/A,N/A
8544-GOQSH,80.05,14,Month-to-month,Fiber optic,Credit card (automatic),0,0,No,0.6725027255548154,High,Internetservice Fiber Optic,Contract Upgrade Incentive
3363-DTIVD,105.55,71,Two year,Fiber optic,Electronic check,0,0,No,0.0016435990795631008,Low,N/A,N/A
7018-WBJNK,78.3,13,Month-to-month,Fiber optic,Credit card (automatic),0,0,No,0.6841761430468596,High,Internetservice Fiber Optic,Contract Upgrade Incentive
9142-KZXOP,68.85,44,Month-to-month,Fiber optic,Credit card (automatic),0,0,No,0.2506016522460389,Low,N/A,N/A
7674-YTAFD,79.95,33,One year,Fiber optic,Bank transfer (automatic),0,5,No,0.1586752891246503,Low,N/A,N/A
6348-SNFUS,55.45,72,Two year,DSL,Credit card (automatic),0,0,No,0.00098332604274751,Low,N/A,N/A
1347-KTTTA,102.45,64,One year,Fiber optic,Credit card (automatic),0,0,No,0.0067259660092170645,Low,N/A,N/A
4195-NZGTA,25.25,1,Month-to-month,DSL,Electronic check,0,5,No,0.816165220934747,Critical,Tenure,Contract Upgrade Incentive
7157-SMCFK,19.75,61,Two year,No,Mailed check,0,0,No,0.0024331606657151017,Low,N/A,N/A
4709-LKHYG,20.0,29,One year,No,Electronic check,0,0,No,0.07565567984692809,Low,N/A,N/A
2504-DSHIH,86.8,23,Month-to-month,Fiber optic,Electronic check,0,4,No,0.6427572549237287,High,Internetservice Fiber Optic,Contract Upgrade Incentive
0699-NDKJM,58.75,57,Month-to-month,DSL,Bank transfer (automatic),1,0,No,0.12984079133203555,Low,N/A,N/A
9286-BHDQG,45.25,72,Two year,DSL,Credit card (automatic),0,0,No,0.001580792778964834,Low,N/A,N/A
0230-WEQUW,56.6,66,Two year,DSL,Bank transfer (automatic),0,0,No,0.001823942088319589,Low,N/A,N/A
2040-LDIWQ,84.2,65,Two year,DSL,Bank transfer (automatic),0,0,No,0.0006916970168456141,Low,N/A,N/A
6496-JDSSB,80.0,8,Month-to-month,Fiber optic,Bank transfer (automatic),0,0,No,0.8079131376582086,Critical,Internetservice Fiber Optic,Contract Upgrade Incentive
4443-EMBNA,24.75,71,Two year,No,Bank transfer (automatic),0,0,No,0.0014997788560311936,Low,N/A,N/A
6469-MRVET,20.2,1,One year,No,Electronic check,0,0,No,0.2570575018194885,Low,N/A,N/A
5961-VUSRV,19.35,12,One year,No,Bank transfer (automatic),0,0,No,0.15383307230050977,Low,N/A,N/A
6778-JFCMK,50.6,24,One year,DSL,Mailed check,0,0,No,0.12371334044356916,Low,N/A,N/A
6341-JVQGF,81.15,31,One year,DSL,Mailed check,0,0,No,0.03129943186389251,Low,N/A,N/A
4811-JBUVU,89.9,30,Month-to-month,Fiber optic,Credit card (automatic),0,0,No,0.30683751182375474,Low,N/A,N/A
0945-TSONX,85.3,47,Two year,DSL,Credit card (automatic),0,0,No,0.0025231385393526175,Low,N/A,N/A
2651-ZCBXV,108.0,54,Two year,Fiber optic,Credit card (automatic),0,0,No,0.004139591299041832,Low,N/A,N/A
3316-UWXUY,93.5,50,Month-to-month,Fiber optic,Credit card (automatic),0,0,No,0.07568864183312989,Low,N/A,N/A
7083-MIOPC,20.25,72,Two year,No,Credit card (automatic),0,0,No,0.0016487917782512425,Low,N/A,N/A
1984-GPTEH,25.15,29,Month-to-month,No,Electronic check,0,0,No,0.1966408036024655,Low,N/A,N/A
0621-JFHOL,29.6,10,Two year,DSL,Mailed check,0,0,No,0.1160480054404049,Low,N/A,N/A
9903-LYSAB,73.15,18,Month-to-month,Fiber optic,Electronic check,0,0,No,0.7347253876694472,Critical,Internetservice Fiber Optic,Contract Upgrade Incentive
9227-UAQFT,19.75,16,Two year,No,Mailed check,0,0,No,0.0325947625069221,Low,N/A,N/A
7301-ABVAD,86.6,72,Two year,DSL,Bank transfer (automatic),1,0,No,0.001721484941700162,Low,N/A,N/A
6614-FHDBO,109.2,72,Two year,Fiber optic,Bank transfer (automatic),0,4,No,0.0009027328465150236,Low,N/A,N/A
7576-ASEJU,74.7,41,One year,DSL,Credit card (automatic),2,0,No,0.20521281515850567,Low,N/A,N/A
9058-HRZSV,94.4,65,Month-to-month,Fiber optic,Electronic check,0,0,No,0.05576557327762077,Low,N/A,N/A
4522-AKYLR,54.8,13,Month-to-month,DSL,Electronic check,0,0,No,0.6210136868175098,High,Tenure,Contract Upgrade Incentive
0221-WMXNQ,75.35,4,Month-to-month,Fiber optic,Electronic check,0,1,No,0.907446134209561,Critical,Internetservice Fiber Optic,Contract Upgrade Incentive
0303-UNCIP,65.0,41,One year,DSL,Mailed check,0,0,No,0.03271631710663389,Low,N/A,N/A
0959-WHOKV,99.0,42,One year,Fiber optic,Electronic check,0,0,No,0.08115839726862216,Low,N/A,N/A
4075-JFPGR,93.5,51,One year,Fiber optic,Electronic check,0,5,No,0.05407644969880002,Low,N/A,N/A
3282-ZISZV,83.7,32,One year,DSL,Credit card (automatic),0,0,No,0.028553061536981367,Low,N/A,N/A
3675-YDUPJ,19.85,10,Month-to-month,No,Mailed check,0,0,No,0.3084296044859544,Low,N/A,N/A
4111-BNXIF,59.55,67,Two year,DSL,Electronic check,0,0,No,0.00203184497266455,Low,N/A,N/A
7017-VFHAY,115.1,61,Two year,Fiber optic,Credit card (automatic),0,0,No,0.0015914358194924953,Low,N/A,N/A
6655-LHBYW,114.35,50,One year,Fiber optic,Credit card (automatic),0,0,No,0.01584837526796467,Low,N/A,N/A
5046-NUHWD,45.0,29,Month-to-month,DSL,Electronic check,0,4,No,0.4064604785959065,High,Paymentmethod Electronic Check,Contract Upgrade Incentive
7529-ZDFXI,89.85,57,Month-to-month,Fiber optic,Electronic check,0,5,No,0.11108054119573142,Low,N/A,N/A
7605-BDWDC,49.85,31,Two year,DSL,Bank transfer (automatic),0,0,No,0.026347581836692443,Low,N/A,N/A
1950-KSVVJ,113.3,45,One year,Fiber optic,Mailed check,0,0,No,0.025606960585236132,Low,N/A,N/A
0123-CRBRT,88.1,61,Two year,DSL,Mailed check,0,2,No,0.0007319420925810212,Low,N/A,N/A
6292-TOSSS,24.9,50,Two year,No,Bank transfer (automatic),0,0,No,0.004950547829372768,Low,N/A,N/A
3197-ARFOY,105.0,19,Month-to-month,Fiber optic,Mailed check,0,0,No,0.5027049640697895,High,Internetservice Fiber Optic,Contract Upgrade Incentive
7014-ZZXAW,24.25,71,Two year,No,Credit card (automatic),0,0,No,0.0014679214739668901,Low,N/A,N/A
7633-MVPUY,59.75,57,Two year,DSL,Electronic check,0,0,No,0.004318463351801946,Low,N/A,N/A
4716-HHKQH,107.05,20,Month-to-month,Fiber optic,Electronic check,0,0,No,0.5496858036469356,High,Internetservice Fiber Optic,Contract Upgrade Incentive
3179-GBRWV,64.95,21,Month-to-month,DSL,Bank transfer (automatic),0,0,No,0.3232219189045299,Low,N/A,N/A
8645-KWHJO,55.0,14,Month-to-month,DSL,Electronic check,0,0,No,0.47987455089352404,High,Tenure,Contract Upgrade Incentive
4130-MZLCC,50.55,5,Month-to-month,DSL,Bank transfer (automatic),0,0,No,0.6298720733480591,High,Tenure,Contract Upgrade Incentive
0314-TKOSI,55.15,6,Month-to-month,DSL,Mailed check,0,0,No,0.5696383440199566,High,Tenure,Contract Upgrade Incentive
8229-MYEJZ,51.2,10,Month-to-month,DSL,Electronic check,0,0,No,0.6343877160566788,High,Tenure,Contract Upgrade Incentive
2080-SRCDE,25.4,1,Month-to-month,No,Mailed check,0,0,No,0.3911098359804933,Low,N/A,N/A
9577-WJVCQ,54.45,68,Month-to-month,DSL,Mailed check,0,0,No,0.02100721793095766,Low,N/A,N/A
6202-DYYFX,76.0,22,One year,Fiber optic,Credit card (automatic),0,0,No,0.34436217051871865,Low,N/A,N/A
3808-HFKDE,44.35,20,Month-to-month,DSL,Electronic check,0,0,No,0.5032440705148592,High,Tenure,Contract Upgrade Incentive
3727-OWVYD,61.2,35,One year,DSL,Mailed check,0,0,No,0.053360590798893326,Low,N/A,N/A
2294-SALNE,86.8,23,One year,Fiber optic,Mailed check,0,0,No,0.19058893542824168,Low,N/A,N/A
4847-TAJYI,89.35,6,Month-to-month,Fiber optic,Electronic check,0,0,No,0.8805314583305858,Critical,Internetservice Fiber Optic,Contract Upgrade Incentive
1563-IWQEX,19.7,12,Month-to-month,No,Mailed check,0,2,No,0.3062961699511274,Low,N/A,N/A
8203-XJZRC,20.25,1,Month-to-month,No,Mailed check,0,0,No,0.4215858040310927,High,Tenure,Contract Upgrade Incentive
6556-DBKZF,76.05,71,Two year,Fiber optic,Electronic check,0,0,No,0.005072659400453135,Low,N/A,N/A
